[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Examples] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Examples\Models] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Examples\Models\Control_Engineering] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts\Install_Sperte] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts\Install_Sperte\Install_Simulink_Lib] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Matlab_Scripts\common] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib\SPERTE_Blocks] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib\SPERTE_Blocks\sfunctions] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation\Tooling\Simulink_Lib\ref3ma] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot Arm\robotarm_student\SPERTE\SPERTE_installation] 
[Warning: Name is nonexistent or not a directory: C:\Users\20234360\MATLAB Drive\Control of a Robot
Arm\robotarm_student\SPERTE\SPERTE_installation\Callibration_check_Robot_Ipos_ert_rtw] 
xKN=0.65 | yK2=0.444 | f_gas=0.556 | dTad=1481 K | T_flame=1779 K | R=352 J/kg/K
step	 time	 iter	 pbar[Pa] Tvent[K] uvent[m/s] m_in	 m_vent	 massErr	 xf[mm]
13200    0.2640   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.08
13300    0.2660   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.09
13400    0.2680   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.10
13500    0.2700   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.11
13600    0.2720   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.11
13700    0.2740   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.12
13800    0.2760   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.13
13900    0.2780   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.14
14000    0.2800   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.15
14100    0.2820   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.15
14200    0.2840   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.16
14300    0.2860   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.17
14400    0.2880   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.18
14500    0.2900   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.19
14600    0.2920   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.19
14700    0.2940   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.20
14800    0.2960   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.21
14900    0.2980   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.22
15000    0.3000   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.23
15100    0.3020   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.23
15200    0.3040   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.24
15300    0.3060   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.25
15400    0.3080   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.26
15500    0.3100   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.27
15600    0.3120   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.27
15700    0.3140   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.28
15800    0.3160   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.29
15900    0.3180   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.30
16000    0.3200   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.31
16100    0.3220   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.31
16200    0.3240   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.32
16300    0.3260   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.33
16400    0.3280   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.34
16500    0.3300   1   2556.34   1778.9    91.09  2.57e-01  2.61e-01  4.84e-03   10.35
