Composition: 65% KNO3 / 35% sugar | r=6.29 mol | K2CO3 yield = 44.4 wt% | dTad = 1300 K | Tad = 1598 K
step   time[s]  Tmax[K]  Tvent[K]  K2CO3[kg]  Uvent[m/s]  meanYfu  SMAX
  162    0.162   1495.6   1352.7  4.434e-05  5.910e-01  0.9241  6.16e-08
  163    0.163   1494.3   1351.4  4.443e-05  5.872e-01  0.9238  1.51e-07
  164    0.164   1492.9   1350.0  4.450e-05  5.829e-01  0.9234  2.45e-07
  165    0.165   1491.5   1348.7  4.457e-05  5.786e-01  0.9231  3.24e-07
  166    0.166   1490.1   1347.3  4.465e-05  5.745e-01  0.9228  3.86e-07
  167    0.167   1488.6   1345.9  4.476e-05  5.711e-01  0.9225  4.28e-07
  168    0.168   1487.2   1344.6  4.493e-05  5.691e-01  0.9222  4.37e-07
  169    0.169   1485.8   1343.2  4.520e-05  5.692e-01  0.9217  4.03e-07
  170    0.170   1484.4   1341.8  4.561e-05  5.715e-01  0.9212  3.09e-07
  171    0.171   1483.2   1340.4  4.591e-05  5.720e-01  0.9207  1.75e-07
  172    0.172   1482.1   1339.0  4.619e-05  5.727e-01  0.9202  1.40e-07
  173    0.173   1481.9   1337.6  4.651e-05  5.747e-01  0.9197  1.14e-07
  174    0.174   1482.6   1336.2  4.695e-05  5.795e-01  0.9190  5.15e-08
  175    0.175   1483.5   1334.8  4.751e-05  5.864e-01  0.9183  1.41e-07
  176    0.176   1487.3   1333.4  4.806e-05  5.925e-01  0.9175  2.99e-07
  177    0.177   1494.5   1332.1  4.858e-05  5.976e-01  0.9167  3.82e-07
  178    0.178   1499.5   1330.7  4.893e-05  5.993e-01  0.9161  4.10e-07
  179    0.179   1502.4   1329.3  4.919e-05  5.999e-01  0.9156  3.23e-07
  180    0.180   1503.7   1327.9  4.945e-05  6.005e-01  0.9151  2.25e-07
  181    0.181   1504.0   1326.5  4.978e-05  6.026e-01  0.9145  1.61e-07
  182    0.182   1509.5   1325.2  5.009e-05  6.031e-01  0.9139  1.60e-07
  183    0.183   1511.2   1323.8  5.029e-05  6.017e-01  0.9134  1.13e-07
  184    0.184   1510.5   1322.4  5.044e-05  5.994e-01  0.9130  5.14e-08
  185    0.185   1508.3   1321.1  5.058e-05  5.969e-01  0.9126  1.44e-07
  186    0.186   1506.3   1319.7  5.072e-05  5.946e-01  0.9122  2.15e-07
  187    0.187   1506.1   1318.4  5.088e-05  5.930e-01  0.9118  2.56e-07
  188    0.188   1506.2   1317.0  5.111e-05  5.928e-01  0.9114  2.61e-07
  189    0.189   1506.0   1315.7  5.146e-05  5.952e-01  0.9108  2.19e-07
  190    0.190   1505.9   1314.3  5.198e-05  6.002e-01  0.9100  1.09e-07
  191    0.191   1505.5   1313.0  5.239e-05  6.026e-01  0.9094  1.04e-07
  192    0.192   1504.9   1311.7  5.274e-05  6.046e-01  0.9088  1.33e-07
  193    0.193   1504.2   1310.4  5.313e-05  6.077e-01  0.9081  1.36e-07
  194    0.194   1503.4   1309.1  5.355e-05  6.118e-01  0.9075  1.75e-07
  195    0.195   1503.5   1307.8  5.401e-05  6.168e-01  0.9067  2.30e-07
  196    0.196   1503.3   1306.5  5.457e-05  6.238e-01  0.9059  2.98e-07
  197    0.197   1502.8   1305.2  5.519e-05  6.312e-01  0.9051  4.04e-07
  198    0.198   1502.1   1304.0  5.567e-05  6.358e-01  0.9043  4.89e-07
  199    0.199   1501.3   1302.7  5.602e-05  6.383e-01  0.9036  4.61e-07
  200    0.200   1500.2   1301.5  5.634e-05  6.407e-01  0.9030  3.79e-07
  201    0.201   1499.1   1300.2  5.668e-05  6.434e-01  0.9024  3.20e-07
  202    0.202   1497.8   1299.0  5.702e-05  6.462e-01  0.9017  2.87e-07
  203    0.203   1496.5   1297.8  5.748e-05  6.512e-01  0.9010  2.66e-07
  204    0.204   1496.0   1296.6  5.806e-05  6.573e-01  0.9001  3.22e-07
  205    0.205   1496.0   1295.4  5.842e-05  6.586e-01  0.8995  3.92e-07
  206    0.206   1496.1   1294.2  5.863e-05  6.574e-01  0.8989  2.93e-07
  207    0.207   1497.8   1293.0  5.877e-05  6.548e-01  0.8985  1.46e-07
  208    0.208   1500.9   1291.9  5.886e-05  6.515e-01  0.8981  2.47e-08
  209    0.209   1502.9   1290.7  5.894e-05  6.480e-01  0.8977  1.22e-07
  210    0.210   1503.7   1289.6  5.904e-05  6.447e-01  0.8973  2.12e-07
  211    0.211   1503.5   1288.4  5.920e-05  6.423e-01  0.8969  2.67e-07
