Composition: 65% KNO3 / 35% sugar | r=6.29 mol | K2CO3 yield = 44.4 wt% | dTad = 1300 K | Tad = 1598 K
step   time[s] iter  Tmax[K]  Tvent[K]  Pchamber[kPa]  Pfield[Pa]  Uexit[m/s]  Uvent0D[m/s]  K2CO3[kg]  meanYfu  SMAX
  887    0.887    1    970.4    916.6       103.94       3.15   4.523e-02   7.315e+01  4.271e-05  0.9144  2.71e-08
  888    0.888    1    970.3    916.5       103.94       3.16   4.523e-02   7.315e+01  4.274e-05  0.9143  2.70e-08
  889    0.889    1    970.2    916.4       103.94       3.16   4.523e-02   7.314e+01  4.278e-05  0.9142  2.70e-08
  890    0.890    1    970.1    916.3       103.94       3.16   4.523e-02   7.313e+01  4.281e-05  0.9141  2.70e-08
  891    0.891    1    970.1    916.2       103.94       3.16   4.522e-02   7.313e+01  4.284e-05  0.9141  2.69e-08
  892    0.892    1    970.0    916.1       103.93       3.16   4.522e-02   7.312e+01  4.288e-05  0.9140  2.69e-08
  893    0.893    1    969.9    916.0       103.93       3.16   4.522e-02   7.311e+01  4.291e-05  0.9139  2.69e-08
  894    0.894    1    969.8    915.9       103.93       3.16   4.522e-02   7.310e+01  4.295e-05  0.9138  2.68e-08
  895    0.895    1    969.7    915.9       103.93       3.16   4.522e-02   7.310e+01  4.298e-05  0.9138  2.68e-08
  896    0.896    1    969.6    915.8       103.93       3.16   4.522e-02   7.309e+01  4.302e-05  0.9137  2.68e-08
  897    0.897    1    969.5    915.7       103.93       3.16   4.521e-02   7.308e+01  4.305e-05  0.9136  2.67e-08
  898    0.898    1    969.4    915.6       103.93       3.16   4.521e-02   7.307e+01  4.309e-05  0.9135  2.67e-08
  899    0.899    1    969.3    915.5       103.93       3.16   4.521e-02   7.307e+01  4.312e-05  0.9135  2.67e-08
  900    0.900    1    969.3    915.4       103.93       3.16   4.521e-02   7.306e+01  4.315e-05  0.9134  2.66e-08
  901    0.901    1    969.2    915.3       103.93       3.16   4.521e-02   7.305e+01  4.319e-05  0.9133  2.66e-08
  902    0.902    1    969.1    915.2       103.93       3.16   4.521e-02   7.305e+01  4.322e-05  0.9133  2.66e-08
  903    0.903    1    969.0    915.1       103.93       3.17   4.521e-02   7.304e+01  4.326e-05  0.9132  2.65e-08
  904    0.904    1    968.9    915.0       103.93       3.17   4.521e-02   7.303e+01  4.329e-05  0.9131  2.65e-08
  905    0.905    1    968.8    914.9       103.93       3.17   4.521e-02   7.302e+01  4.333e-05  0.9130  2.65e-08
  906    0.906    1    968.7    914.8       103.93       3.17   4.521e-02   7.302e+01  4.336e-05  0.9130  2.64e-08
  907    0.907    1    968.6    914.8       103.93       3.17   4.521e-02   7.301e+01  4.340e-05  0.9129  2.64e-08
  908    0.908    1    968.6    914.7       103.93       3.17   4.522e-02   7.300e+01  4.343e-05  0.9128  2.64e-08
  909    0.909    1    968.5    914.6       103.93       3.17   4.522e-02   7.300e+01  4.346e-05  0.9127  2.63e-08
  910    0.910    1    968.4    914.5       103.93       3.17   4.522e-02   7.299e+01  4.350e-05  0.9127  2.63e-08
  911    0.911    1    968.3    914.4       103.93       3.17   4.522e-02   7.298e+01  4.353e-05  0.9126  2.63e-08
  912    0.912    1    968.2    914.3       103.93       3.17   4.522e-02   7.297e+01  4.357e-05  0.9125  2.63e-08
  913    0.913    1    968.1    914.2       103.93       3.17   4.523e-02   7.297e+01  4.360e-05  0.9124  2.62e-08
  914    0.914    1    968.0    914.1       103.93       3.17   4.523e-02   7.296e+01  4.364e-05  0.9124  2.62e-08
  915    0.915    1    967.9    914.0       103.93       3.17   4.523e-02   7.295e+01  4.367e-05  0.9123  2.62e-08
  916    0.916    1    967.9    913.9       103.93       3.17   4.523e-02   7.295e+01  4.371e-05  0.9122  2.61e-08
  917    0.917    1    967.8    913.8       103.93       3.17   4.524e-02   7.294e+01  4.374e-05  0.9121  2.61e-08
  918    0.918    1    967.7    913.8       103.93       3.17   4.524e-02   7.293e+01  4.378e-05  0.9121  2.61e-08
  919    0.919    1    967.6    913.7       103.93       3.18   4.524e-02   7.292e+01  4.381e-05  0.9120  2.61e-08
  920    0.920    1    967.5    913.6       103.93       3.18   4.525e-02   7.292e+01  4.385e-05  0.9119  2.60e-08
   >> t=0.920 s | 2-D flow: m_gen=+2.37e-04 m_vent=+2.24e-04 kg/s/m (Pfield=3.2 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.61e-01 kg/s/m -> dP=+2.93 kPa
  921    0.921    1    967.4    913.5       103.93       3.18   4.525e-02   7.291e+01  4.388e-05  0.9118  2.60e-08
  922    0.922    1    967.3    913.4       103.93       3.18   4.526e-02   7.290e+01  4.391e-05  0.9118  2.60e-08
  923    0.923    1    967.2    913.3       103.93       3.18   4.526e-02   7.290e+01  4.395e-05  0.9117  2.59e-08
  924    0.924    1    967.2    913.2       103.93       3.18   4.527e-02   7.289e+01  4.398e-05  0.9116  2.59e-08
  925    0.925    1    967.1    913.1       103.93       3.18   4.527e-02   7.288e+01  4.402e-05  0.9115  2.59e-08
  926    0.926    1    967.0    913.0       103.93       3.18   4.528e-02   7.288e+01  4.405e-05  0.9115  2.59e-08
  927    0.927    1    966.9    913.0       103.92       3.18   4.528e-02   7.287e+01  4.409e-05  0.9114  2.58e-08
  928    0.928    1    966.8    912.9       103.92       3.18   4.529e-02   7.286e+01  4.412e-05  0.9113  2.58e-08
  929    0.929    1    966.7    912.8       103.92       3.18   4.529e-02   7.285e+01  4.416e-05  0.9112  2.58e-08
  930    0.930    1    966.6    912.7       103.92       3.18   4.530e-02   7.285e+01  4.419e-05  0.9112  2.58e-08
  931    0.931    1    966.5    912.6       103.92       3.18   4.531e-02   7.284e+01  4.423e-05  0.9111  2.57e-08
  932    0.932    1    966.5    912.5       103.92       3.18   4.531e-02   7.283e+01  4.426e-05  0.9110  2.57e-08
  933    0.933    1    966.4    912.4       103.92       3.18   4.532e-02   7.283e+01  4.430e-05  0.9109  2.57e-08
  934    0.934    1    966.3    912.3       103.92       3.18   4.533e-02   7.282e+01  4.433e-05  0.9109  2.57e-08
  935    0.935    1    966.2    912.2       103.92       3.19   4.533e-02   7.281e+01  4.437e-05  0.9108  2.56e-08
  936    0.936    1    966.1    912.1       103.92       3.19   4.534e-02   7.281e+01  4.440e-05  0.9107  2.56e-08
  937    0.937    1    966.0    912.1       103.92       3.19   4.535e-02   7.280e+01  4.444e-05  0.9106  2.56e-08
  938    0.938    1    965.9    912.0       103.92       3.19   4.536e-02   7.279e+01  4.447e-05  0.9106  2.56e-08
  939    0.939    1    965.9    911.9       103.92       3.19   4.536e-02   7.279e+01  4.451e-05  0.9105  2.55e-08
  940    0.940    1    965.8    911.8       103.92       3.19   4.537e-02   7.278e+01  4.454e-05  0.9104  2.55e-08
  941    0.941    1    965.7    911.7       103.92       3.19   4.538e-02   7.277e+01  4.458e-05  0.9103  2.55e-08
  942    0.942    1    965.6    911.6       103.92       3.19   4.539e-02   7.276e+01  4.461e-05  0.9103  2.55e-08
  943    0.943    1    965.5    911.5       103.92       3.19   4.540e-02   7.276e+01  4.465e-05  0.9102  2.55e-08
  944    0.944    1    965.4    911.4       103.92       3.19   4.541e-02   7.275e+01  4.468e-05  0.9101  2.54e-08
  945    0.945    1    965.3    911.4       103.92       3.19   4.542e-02   7.274e+01  4.472e-05  0.9100  2.54e-08
  946    0.946    1    965.2    911.3       103.92       3.19   4.543e-02   7.274e+01  4.475e-05  0.9099  2.54e-08
  947    0.947    1    965.2    911.2       103.92       3.19   4.544e-02   7.273e+01  4.479e-05  0.9099  2.54e-08
  948    0.948    1    965.1    911.1       103.92       3.19   4.545e-02   7.272e+01  4.482e-05  0.9098  2.53e-08
  949    0.949    1    965.0    911.0       103.92       3.19   4.546e-02   7.272e+01  4.486e-05  0.9097  2.53e-08
  950    0.950    1    964.9    910.9       103.92       3.19   4.547e-02   7.271e+01  4.489e-05  0.9096  2.53e-08
  951    0.951    1    964.8    910.8       103.92       3.20   4.548e-02   7.270e+01  4.493e-05  0.9096  2.53e-08
  952    0.952    1    964.7    910.7       103.92       3.20   4.549e-02   7.270e+01  4.496e-05  0.9095  2.53e-08
  953    0.953    1    964.6    910.6       103.92       3.20   4.550e-02   7.269e+01  4.500e-05  0.9094  2.52e-08
  954    0.954    1    964.6    910.6       103.92       3.20   4.551e-02   7.268e+01  4.503e-05  0.9093  2.52e-08
  955    0.955    1    964.5    910.5       103.92       3.20   4.552e-02   7.267e+01  4.507e-05  0.9093  2.52e-08
  956    0.956    1    964.4    910.4       103.92       3.20   4.553e-02   7.267e+01  4.510e-05  0.9092  2.52e-08
  957    0.957    1    964.3    910.3       103.92       3.20   4.555e-02   7.266e+01  4.514e-05  0.9091  2.52e-08
  958    0.958    1    964.2    910.2       103.92       3.20   4.556e-02   7.265e+01  4.517e-05  0.9090  2.51e-08
  959    0.959    1    964.1    910.1       103.92       3.20   4.557e-02   7.265e+01  4.521e-05  0.9090  2.51e-08
  960    0.960    1    964.0    910.0       103.92       3.20   4.558e-02   7.264e+01  4.524e-05  0.9089  2.51e-08
   >> t=0.960 s | 2-D flow: m_gen=+2.39e-04 m_vent=+2.27e-04 kg/s/m (Pfield=3.2 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.61e-01 kg/s/m -> dP=+2.92 kPa
  961    0.961    1    964.0    909.9       103.92       3.20   4.559e-02   7.263e+01  4.528e-05  0.9088  2.51e-08
  962    0.962    1    963.9    909.9       103.92       3.20   4.561e-02   7.263e+01  4.531e-05  0.9087  2.51e-08
  963    0.963    1    963.8    909.8       103.91       3.20   4.562e-02   7.262e+01  4.535e-05  0.9086  2.51e-08
  964    0.964    1    963.7    909.7       103.91       3.20   4.563e-02   7.261e+01  4.538e-05  0.9086  2.50e-08
  965    0.965    1    963.6    909.6       103.91       3.20   4.564e-02   7.261e+01  4.542e-05  0.9085  2.50e-08
  966    0.966    1    963.5    909.5       103.91       3.20   4.566e-02   7.260e+01  4.545e-05  0.9084  2.50e-08
  967    0.967    1    963.4    909.4       103.91       3.21   4.567e-02   7.259e+01  4.549e-05  0.9083  2.50e-08
  968    0.968    1    963.4    909.3       103.91       3.21   4.568e-02   7.259e+01  4.553e-05  0.9083  2.50e-08
  969    0.969    1    963.3    909.2       103.91       3.21   4.569e-02   7.258e+01  4.556e-05  0.9082  2.50e-08
  970    0.970    1    963.2    909.2       103.91       3.21   4.571e-02   7.257e+01  4.560e-05  0.9081  2.49e-08
  971    0.971    1    963.1    909.1       103.91       3.21   4.572e-02   7.257e+01  4.563e-05  0.9080  2.49e-08
  972    0.972    1    963.0    909.0       103.91       3.21   4.573e-02   7.256e+01  4.567e-05  0.9079  2.49e-08
  973    0.973    1    962.9    908.9       103.91       3.21   4.575e-02   7.255e+01  4.570e-05  0.9079  2.49e-08
  974    0.974    1    962.9    908.8       103.91       3.21   4.576e-02   7.255e+01  4.574e-05  0.9078  2.49e-08
  975    0.975    1    962.8    908.7       103.91       3.21   4.577e-02   7.254e+01  4.577e-05  0.9077  2.49e-08
  976    0.976    1    962.7    908.6       103.91       3.21   4.579e-02   7.253e+01  4.581e-05  0.9076  2.48e-08
  977    0.977    1    962.6    908.6       103.91       3.21   4.580e-02   7.253e+01  4.584e-05  0.9076  2.48e-08
  978    0.978    1    962.5    908.5       103.91       3.21   4.581e-02   7.252e+01  4.588e-05  0.9075  2.48e-08
  979    0.979    1    962.4    908.4       103.91       3.21   4.582e-02   7.251e+01  4.592e-05  0.9074  2.48e-08
  980    0.980    1    962.3    908.3       103.91       3.21   4.584e-02   7.251e+01  4.595e-05  0.9073  2.48e-08
  981    0.981    1    962.3    908.2       103.91       3.21   4.585e-02   7.250e+01  4.599e-05  0.9073  2.48e-08
  982    0.982    1    962.2    908.1       103.91       3.21   4.586e-02   7.249e+01  4.602e-05  0.9072  2.47e-08
  983    0.983    1    962.1    908.0       103.91       3.21   4.587e-02   7.248e+01  4.606e-05  0.9071  2.47e-08
  984    0.984    1    962.0    908.0       103.91       3.22   4.588e-02   7.248e+01  4.609e-05  0.9070  2.47e-08
  985    0.985    1    961.9    907.9       103.91       3.22   4.590e-02   7.247e+01  4.613e-05  0.9069  2.47e-08
  986    0.986    1    961.8    907.8       103.91       3.22   4.591e-02   7.246e+01  4.616e-05  0.9069  2.47e-08
  987    0.987    1    961.8    907.7       103.91       3.22   4.592e-02   7.246e+01  4.620e-05  0.9068  2.47e-08
  988    0.988    1    961.7    907.6       103.91       3.22   4.593e-02   7.245e+01  4.623e-05  0.9067  2.47e-08
  989    0.989    1    961.6    907.5       103.91       3.22   4.594e-02   7.244e+01  4.627e-05  0.9066  2.46e-08
  990    0.990    1    961.5    907.4       103.91       3.22   4.595e-02   7.244e+01  4.631e-05  0.9065  2.46e-08
  991    0.991    1    961.4    907.4       103.91       3.22   4.596e-02   7.243e+01  4.634e-05  0.9065  2.46e-08
  992    0.992    1    961.3    907.3       103.91       3.22   4.597e-02   7.242e+01  4.638e-05  0.9064  2.46e-08
  993    0.993    1    961.3    907.2       103.91       3.22   4.598e-02   7.242e+01  4.641e-05  0.9063  2.46e-08
  994    0.994    1    961.2    907.1       103.91       3.22   4.599e-02   7.241e+01  4.645e-05  0.9062  2.46e-08
  995    0.995    1    961.1    907.0       103.91       3.22   4.600e-02   7.240e+01  4.648e-05  0.9062  2.45e-08
  996    0.996    1    961.0    906.9       103.91       3.22   4.601e-02   7.240e+01  4.652e-05  0.9061  2.45e-08
  997    0.997    1    960.9    906.8       103.91       3.22   4.601e-02   7.239e+01  4.655e-05  0.9060  2.45e-08
  998    0.998    1    960.8    906.8       103.91       3.22   4.602e-02   7.238e+01  4.659e-05  0.9059  2.45e-08
  999    0.999    1    960.7    906.7       103.90       3.22   4.603e-02   7.238e+01  4.663e-05  0.9058  2.45e-08
 1000    1.000    1    960.7    906.6       103.90       3.23   4.604e-02   7.237e+01  4.666e-05  0.9058  2.45e-08
   >> t=1.000 s | 2-D flow: m_gen=+2.42e-04 m_vent=+2.30e-04 kg/s/m (Pfield=3.2 Pa) | chamber: Mdot_gen=+3.61e-01 mdot_vent=+3.61e-01 kg/s/m -> dP=+2.90 kPa
Done xKN=0.65: Tmax=961 K, vent T=633 C, peak P=105.5 kPa (1.04 atm), burn time=19.94 s, K2CO3=4.666e-05, smoke=1.067e-04 kg

UEXIT_PEAK=0.1117 m/s  RESDIR=results\run_20260618_201509_872_xKN65
